序号,入站通道,消息前缀,解析说明,解析规律,参数含义,当前返回信息,后端用途待确认,后端发出格式
20,QT_Return_switch,ConnectAllDeviceComplete,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ConnectAllDeviceComplete」。,parts[0]: 与 Qt 约定的下行关键字「ConnectAllDeviceComplete」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：全部连接完成，关闭进度条。 代码摘要：// 全部连接完成，关闭进度条 this.loadingConnectAllDevice = false; break;,全部连接完成，关闭进度条,,QT_Return message 建议: ConnectAllDeviceComplete:...
21,QT_Return_switch,ScanFailed,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ScanFailed」。,"parts[0]: 与 Qt 约定的下行关键字「ScanFailed」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const reason = parts[1]; this.callShowMessageBox(reason, 'error'); this.loadingSelectDriver = false; } break;",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: ScanFailed:...
22,QT_Return_switch,AddDeviceType,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AddDeviceType」。,parts[1..]: 设备类型及索引等，用于设备列表 UI。,向下游抛出 $bus 事件: AddDeviceType,,QT_Return message 建议: AddDeviceType:...
23,QT_Return_switch,DeviceToBeAllocated,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「DeviceToBeAllocated」。,parts[1..]: 待分配设备类型、索引、名称等。,向下游抛出 $bus 事件: DeviceToBeAllocated；关键：必须携带 DeviceType，否则分配列表会混淆（例如电调/赤道仪错绑）,,QT_Return message 建议: DeviceToBeAllocated:...
24,QT_Return_switch,ShowDeviceAllocationWindow,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ShowDeviceAllocationWindow」。,parts[0]: 与 Qt 约定的下行关键字「ShowDeviceAllocationWindow」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.$bus.$emit('toggleDeviceAllocationPanel'); this.nav = false; break;,向下游抛出 $bus 事件: toggleDeviceAllocationPanel,,QT_Return message 建议: ShowDeviceAllocationWindow:...
25,QT_Return_switch,ExposureCompleted,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ExposureCompleted」。,主相机曝光完成通知；段数与含义以 case 内解析（可能含路径/FPS 等）。,向下游抛出 $bus 事件: ExposureCompleted；以 ExposureCompleted 作为“UI刷新一帧”的信号，统计前端显示帧率,,QT_Return message 建议: ExposureCompleted:...
26,QT_Return_switch,LiveFPS,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「LiveFPS」。,parts[1]: Live 预览帧率（字符串转数值）。,向下游抛出 $bus 事件: LiveFPS,,QT_Return message 建议: LiveFPS:...
27,QT_Return_switch,LiveProcessFPS,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「LiveProcessFPS」。,parts[1]: 处理后 Live 帧率。,向下游抛出 $bus 事件: LiveProcessFPS,,QT_Return message 建议: LiveProcessFPS:...
28,QT_Return_switch,ExposureFailed,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ExposureFailed」。,parts[1] 起：曝光失败原因或错误码。,向下游抛出 $bus 事件: ExposureFailed；失败原因里可能包含 ':'，这里做兼容拼回完整字符串,,QT_Return message 建议: ExposureFailed:...
29,QT_Return_switch,SaveJpgSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SaveJpgSuccess」。,"parts[0]: 与 Qt 约定的下行关键字「SaveJpgSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：this.$bus.$emit('showRoiImage', fileName);。 代码摘要：if (parts.length === 4) { const fileName = parts[1]; const roi_x = parseInt(parts[2]); const roi_y = parseInt(parts[3]); this.ROI_x = roi_x; this.ROI_y = roi_y; // this.$bus.$emit('showRoiImage', fileName); this.showRoiImage(fileName, ro...","向下游抛出 $bus 事件: showRoiImage；this.$bus.$emit('showRoiImage', fileName);",,QT_Return message 建议: SaveJpgSuccess:...
30,QT_Return_switch,SaveBinSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SaveBinSuccess」。,parts[0]: 与 Qt 约定的下行关键字「SaveBinSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：已废弃：不再使用传统bin文件方式，完全使用瓦片金字塔模式。 代码摘要：// 已废弃：不再使用传统bin文件方式，完全使用瓦片金字塔模式 // 后端应该发送 TileGPM 消息而不是 SaveBinSuccess if (parts.length === 4) { const fileName = parts[1]; const showImageSizeX = parseInt(parts[2]); const showImageSizeY = parseInt(parts[3]); this.showImageSizeX = show...,已废弃：不再使用传统bin文件方式，完全使用瓦片金字塔模式,,QT_Return message 建议: SaveBinSuccess:...
31,QT_Return_switch,TileGPM,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TileGPM」。,parts[0]: 与 Qt 约定的下行关键字「TileGPM」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：瓦片金字塔GPM消息处理。 代码摘要：// 瓦片金字塔GPM消息处理 // 格式: // - v1: TileGPM:{sessionId}:{imageWidth}:{imageHeight}:{tileSize}:{maxZoomLevel}:{blackLevel}:{whiteLevel}:{cfa}:{gainR}:{gainB} // - v2(追加): ...:{previewWidth}:{previewHeight}:{previewBinningFactor} // - v3(追加): ...,瓦片金字塔GPM消息处理,,QT_Return message 建议: TileGPM:...
32,QT_Return_switch,TileHistogramFile,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TileHistogramFile」。,parts[0]: 与 Qt 约定的下行关键字「TileHistogramFile」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：新方案：直方图保存为文件，通过HTTPS下载。 代码摘要：// 新方案：直方图保存为文件，通过HTTPS下载 // 格式: TileHistogramFile:{sessionId}:{bins}:{total}:{url} if (parts.length >= 5) { const sessionId = parts[1]; const bins = parseInt(parts[2]); const total = parseInt(parts[3]); const url = parts.slice(4).join('...,新方案：直方图保存为文件，通过HTTPS下载,,QT_Return message 建议: TileHistogramFile:...
33,QT_Return_switch,WhiteBalanceGains,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「WhiteBalanceGains」。,parts[1..]: 白平衡增益等。,白平衡增益计算结果,,QT_Return message 建议: WhiteBalanceGains:...
34,QT_Return_switch,SaveGuiderImageSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SaveGuiderImageSuccess」。,parts[0]: 与 Qt 约定的下行关键字「SaveGuiderImageSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const fileName = parts[1]; this.loadAndDisplayImage('img/' + fileName); } break;,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: SaveGuiderImageSuccess:...
35,QT_Return_switch,GuideSize,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuideSize」。,"parts[1], parts[2]: 导星窗口列/行等尺寸。","parts[1], parts[2]: 导星窗口列/行等尺寸。",,QT_Return message 建议: GuideSize:...
36,QT_Return_switch,AddScatterChartData,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AddScatterChartData」。,parts[1..]: 散点图数据点。,向下游抛出 $bus 事件: AddScatterChartData,,QT_Return message 建议: AddScatterChartData:...
37,QT_Return_switch,AddLineChartData,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AddLineChartData」。,parts[1..]: RA/Dec 曲线数据点。,向下游抛出 $bus 事件: AddLineChartData；RMS（与 PHD2 一致：RA/DEC/Total）,,QT_Return message 建议: AddLineChartData:...
38,QT_Return_switch,AddRMSErrorData,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AddRMSErrorData」。,parts[1..]: RMS 误差（RA/Dec/总）。,向下游抛出 $bus 事件: AddRMSErrorData,,QT_Return message 建议: AddRMSErrorData:...
39,QT_Return_switch,SetLineChartRange,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SetLineChartRange」。,parts[1..]: 曲线纵轴范围。,向下游抛出 $bus 事件: SetLineChartRange,,QT_Return message 建议: SetLineChartRange:...
40,QT_Return_switch,GuiderStatus,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderStatus」。,parts[1]: 导星状态字符串；由 case 内 $bus 传给导星界面。,向下游抛出 $bus 事件: GuiderStatus,,QT_Return message 建议: GuiderStatus:...
41,QT_Return_switch,FocusChangeSpeedSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocusChangeSpeedSuccess」。,parts[1]: 对焦速度设定结果。,向下游抛出 $bus 事件: FocusChangeSpeedSuccess,,QT_Return message 建议: FocusChangeSpeedSuccess:...
42,QT_Return_switch,FocusPosition,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocusPosition」。,"parts[1], parts[2]: 电调当前位置与目标位置等。",向下游抛出 $bus 事件: FocusPosition,,QT_Return message 建议: FocusPosition:...
43,QT_Return_switch,FocusMoveDone,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocusMoveDone」。,电调移动完成通知；段数以 case 为准。,向下游抛出 $bus 事件: UpdateFWHM、addData_Point,,QT_Return message 建议: FocusMoveDone:...
44,QT_Return_switch,FitResult,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FitResult」。,parts[0]: 与 Qt 约定的下行关键字「FitResult」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：只在每次自动对焦流程中弹出一次水平线拟合结果，避免连续刷屏。 代码摘要：if (parts.length === 3) { // 只在每次自动对焦流程中弹出一次水平线拟合结果，避免连续刷屏 if (!this.fitResultShown) { this.fitResultShown = true; // 使用国际化文案，并在消息末尾追加“对焦失败”的英文说明 const msg = this.$t('AutoFocusFitResultFlatLine') + ' ' + this.$t('AutoFocusFailed'); this....,只在每次自动对焦流程中弹出一次水平线拟合结果，避免连续刷屏,,QT_Return message 建议: FitResult:...
45,QT_Return_switch,StarDetectionResult,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「StarDetectionResult」。,parts[0]: 与 Qt 约定的下行关键字「StarDetectionResult」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：仅在自动对焦第 4 步（更精细精调）时弹出 HFR 提示，。 代码摘要：if (parts.length === 3) { const detected = parts[1] === 'true'; const hfr = parseFloat(parts[2]); // 仅在自动对焦第 4 步（更精细精调）时弹出 HFR 提示， // 粗调 / 精调阶段不再弹出，以免把 SNR 当成 HFR 显示。 const step = this.autoFocusInfo && this.autoFocusInfo.step; if (step =...,仅在自动对焦第 4 步（更精细精调）时弹出 HFR 提示，,,QT_Return message 建议: StarDetectionResult:...
46,QT_Return_switch,AutoFocusModeChanged,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusModeChanged」。,parts[1]: 粗对焦/细对焦等模式。,parts[1]: 粗对焦/细对焦等模式。,,QT_Return message 建议: AutoFocusModeChanged:...
47,QT_Return_switch,addMinPointData_Point,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「addMinPointData_Point」。,"parts[0]: 与 Qt 约定的下行关键字「addMinPointData_Point」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { const x = parseInt(parts[1]); const y = parseFloat(parts[2]); this.$bus.$emit('addMinPointData_Point', x, y); } break;",向下游抛出 $bus 事件: addMinPointData_Point,,QT_Return message 建议: addMinPointData_Point:...
48,QT_Return_switch,addLineData_Point,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「addLineData_Point」。,"parts[0]: 与 Qt 约定的下行关键字「addLineData_Point」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { const a = parseFloat(parts[1]); const b = parseFloat(parts[2]); const c = parseFloat(parts[3]); console.log('addLineData_Point:', a, b, c); this.$bus.$emit('addLineData_Point', a, b, c); } break;",向下游抛出 $bus 事件: addLineData_Point,,QT_Return message 建议: addLineData_Point:...
