序号,协议类型,消息前缀,静态示例,参数说明,后端参数匹配,源文件,前端用途说明,后端用途待确认,后端处理说明
54,Vue_Command,ImageOffset:,ImageOffset:,parts[1]: int/double offset。 [与后端对照: 是],是,src/App.vue,主相机 offset。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ImageOffset"""
55,Vue_Command,LoopCapture:,LoopCapture:,parts[1]: bool 字符串（后端可能未匹配）。 [与后端对照: 否],否,src/App.vue,切换 ROI/主相机循环连拍模式布尔值（App.vue LoopCapture）。,当前 mainwindow 未见 parts[0]==LoopCapture 分支，可能 Unknown。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；连拍次数用 SetMainCameraLoopCaptureNum；模式开关待后端补全或经 SetMainCameraCaptureMode
56,Vue_Command,MaxLimit:,MaxLimit:,parts[1]: int。 [与后端对照: 是],是,src/App.vue,电调行程最大/最小限制。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | MinLimit/MaxLimit + dpFocuser
57,Vue_Command,MinLimit:,MinLimit:,parts[1]: int。 [与后端对照: 是],是,src/App.vue,电调行程最大/最小限制。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | MinLimit/MaxLimit + dpFocuser
58,Vue_Command,MountGoto:,MountGoto:,message 含逗号分段 Ra/Dec 子串，见 MountGoto 解析 | parts.size()==4。 [与后端对照: 是],是,src/components/MountControlPanel.vue,"赤道仪 GOTO（MountGoto:…,… 复杂格式）。",已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts size 4 MountGoto → 解析 RaDecList
59,Vue_Command,MountHome,MountHome,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,指向零点/ home 位。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountHome"""
60,Vue_Command,MountMoveAbort,MountMoveAbort,无参数。 [与后端对照: 是],是,src/components/MeridianFlipNotifier.vue,停止当前赤经赤纬移动。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountMoveAbort"""
61,Vue_Command,MountMoveDECStop:,MountMoveDECStop:,parts[1]: string。 [与后端对照: 是],是,src/components/MountControlPanel.vue,停止 Dec/RA 轴向点动。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | MountMoveDECStop / MountMoveRAStop
62,Vue_Command,MountMoveEast,MountMoveEast,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,点动 East。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountMoveEast"""
63,Vue_Command,MountMoveNorth,MountMoveNorth,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,点动 North。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountMoveNorth"""
64,Vue_Command,MountMoveRAStop:,MountMoveRAStop:,parts[1]: string。 [与后端对照: 是],是,src/components/MountControlPanel.vue,停止 Dec/RA 轴向点动。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | MountMoveDECStop / MountMoveRAStop
65,Vue_Command,MountMoveSouth,MountMoveSouth,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,点动 South。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountMoveSouth"""
66,Vue_Command,MountMoveWest,MountMoveWest,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,点动 West。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountMoveWest"""
67,Vue_Command,MountPark,MountPark,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,Park 望远镜。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountPark"""
68,Vue_Command,MountSYNC,MountSYNC,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,同步当前位置到天体坐标。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountSYNC"""
69,Vue_Command,MountSpeedSwitch,MountSpeedSwitch,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,切换点动速度档位。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountSpeedSwitch"""
70,Vue_Command,MountTrack,MountTrack,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,开启/切换跟踪。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountTrack"""
71,Vue_Command,MoveFileToUSB:,MoveFileToUSB:,parts[1..]: 路径等 | size>=2。 [与后端对照: 是],是,src/components/ImageManagerBrowser.vue,将文件拷到 USB 存储。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==MoveFileToUSB
72,Vue_Command,MultiStarGuider:,MultiStarGuider:,parts[1]: string（忽略）。 [与后端对照: 是],是,src/App.vue,多星导星开关（旧 PHD2）。,忽略分支。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 同 GuiderFocalLength 忽略
73,Vue_Command,PHD2Recalibrate,PHD2Recalibrate,无参数。 [与后端对照: 是],是,src/components/gui.vue,兼容命令名：等同清除校准并下次重校。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 与 ClearCalibrationData 同分支
74,Vue_Command,RaAggression:,RaAggression:,parts[1]: string/数值（忽略）。 [与后端对照: 是],是,src/App.vue,Ra aggressive（旧 PHD2）。,忽略分支。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 同 GuiderFocalLength 忽略
75,Vue_Command,ReadImageFile:,ReadImageFile:,parts[1]: string 路径。 [与后端对照: 是],是,src/components/ImageFolder.vue,读取指定路径图像到预览/处理。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ReadImageFile"""
76,Vue_Command,RedBox Side Length (px):,RedBox Side Length (px):,parts[1]: int 像素。 [与后端对照: 是],是,src/components/gui.vue,对焦红框边长（像素）。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 与 RedBox/ROI 相关参数；见 roiAndFocuserInfo
77,Vue_Command,RedBox:,RedBox:,parts[1]: string/数值。 [与后端对照: 是],是,src/components/gui.vue,红框位置或尺寸相关（主界面）。,若与 RedBoxSizeChange 混用见对应分支。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 可能经 roi 字典；与 RedBoxSizeChange 区分
78,Vue_Command,RedBoxSizeChange:,RedBoxSizeChange:,parts[1]: int 边长。 [与后端对照: 是],是,src/components/FocuserPanel.vue,改变红框边长并保存 MainCamera/RedBoxSize。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""RedBoxSizeChange"""
79,Vue_Command,ResetAutoPolarAlignment,ResetAutoPolarAlignment,无参数。 [与后端对照: 否],否,src/components/AutomaticPolarAlignmentCalibration.vue,重置自动极轴流程前销毁 polarAlignment 对象（与 Start 前清理相关）。,独立命令若不存在则 Unknown；Reset 日志出现在 StartAutoPolarAlignment 内。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；当前以 StartAutoPolarAlignment 内删除 polarAlignment 为主；独立 Reset 命令需确认是否仍发送
80,Vue_Command,RestartPHD2,RestartPHD2,无参数（已废弃）。 [与后端对照: 忽略],忽略,src/components/gui.vue,重启 PHD2（遗留）。,源码注明 PHD2 已移除，不再处理。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 注释：不再支持 RestartPHD2
81,Vue_Command,RestartRaspberryPi,RestartRaspberryPi,无参数。 [与后端对照: 是],是,src/components/gui.vue,执行系统 reboot。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""RestartRaspberryPi"" → system(""reboot"")"
82,Vue_Command,RestoreAutoPolarAlignment,RestoreAutoPolarAlignment,无参数。 [与后端对照: 否],否,src/components/AutomaticPolarAlignmentCalibration.vue,恢复极轴校准状态（前端）。,若主窗口无专门分支则可能 Unknown。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；在 mainwindow 未检索到独立 Restore 分支
83,Vue_Command,SelectIndiDriver:,SelectIndiDriver:,parts[1]: string Group; parts[2]: int ListNum | size==3。 [与后端对照: 是],是,src/App.vue,列出/打印某组驱动列表序号。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | SelectIndiDriver → printDevGroups2
84,Vue_Command,Self Exposure Time (ms):,Self Exposure Time (ms):,parts[1]: int。 [与后端对照: 是],是,src/App.vue,主相机自曝光（非导星）毫秒，写入配置。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""Self Exposure Time (ms)"""
