序号,传输类型,信封类型,信号名,方向,线上格式,载荷结构,字段约束,前置条件,成功响应,错误响应,状态副作用,兼容状态,权威来源,前端消费路径,解析规律,参数含义,风险等级,备注
12,websocket_text_json,QT_Return,NetModeResult|,hub_to_browser,NetModeResult|mode|result|detail,mode: ap|wan 等,parts.length>=3,App.vue 特判,前端 $bus 订阅者处理,JSON 解析失败路径见 App.vue,网络/下载 UI,stable,apps/web-frontend/src/App.vue（QT_Return 前缀分支）,$bus NetModeResult,按 '|' split：段0=NetModeResult；段1=mode(ap/wan 等)；段2=result；段3=detail。,mode：当前或目标网络模式；result/detail：切换是否成功及说明。,high,高风险：载荷含 JSON 或与 ':' 冲突，必须先走特判分支。
13,websocket_text_json,QT_Return,StagingScheduleData:,hub_to_browser,定标计划原始字符串；含 '[' 分段,整段 emit,见 App.vue,App.vue 特判,前端 $bus 订阅者处理,JSON 解析失败路径见 App.vue,网络/下载 UI,stable,apps/web-frontend/src/App.vue（QT_Return 前缀分支）,$bus StagingScheduleData,startsWith('StagingScheduleData:')；首段前缀后若含 ':'，取首冒号后子串为业务数据（见 App.vue）。,定标/计划表原始文本；结构由 save/load 计划逻辑约定。,normal,高风险：载荷含 JSON 或与 ':' 冲突，必须先走特判分支。
14,websocket_text_json,QT_Return,SendDebugMessage|,hub_to_browser,三段：SendDebugMessage|type|message,parts.length===3,App.vue,App.vue 特判,前端 $bus 订阅者处理,JSON 解析失败路径见 App.vue,网络/下载 UI,stable,apps/web-frontend/src/App.vue（QT_Return 前缀分支）,$bus SendDebugMessage,按 '|' split：段0=SendDebugMessage；段1=type；段2=message（message 内勿再误用 ':' 拆）。,type：调试类别；message：展示给控制台的文本。,normal,高风险：载荷含 JSON 或与 ':' 冲突，必须先走特判分支。
15,websocket_text_json,QT_Return,DownloadManifest:,hub_to_browser,首个冒号后全部为 JSON（因 JSON 内含 ':'）,indexOf(':') 后 substring 再 JSON.parse,解析失败 emit 带 error 的对象,App.vue 特判,前端 $bus 订阅者处理,JSON 解析失败路径见 App.vue,网络/下载 UI,stable,apps/web-frontend/src/App.vue（QT_Return 前缀分支）,$bus DownloadManifest,① startsWith('DownloadManifest:')。② idx = indexOf(':'); JSON.parse(message.substring(idx+1))。,JSON：下载清单（文件列表、总大小等）；解析失败时前端会构造带 error 字段的对象。,high,高风险：载荷含 JSON 或与 ':' 冲突，必须先走特判分支。
16,websocket_text_json,Process_Command,qtServerIsOver,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",Qt 进程丢失或冻结；冒号后可带原因,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,callShowMessageBox + ShowConfirmDialog(restart),parts=data.message.split(':'); parts[0]==='qtServerIsOver'；其后段若存在为原因等，需 join 还原。,parts[0]: 固定子类型。parts[1..]: 可选原因/附加说明（若 Host 发送）。,high,
17,websocket_text_json,Process_Command,checkHasNewUpdatePack,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",parts[1]=目标版本字符串,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,ShowConfirmDialog ForceUpdate -> updateCurrentClient:version,parts.length>=2 时取 parts[1] 为版本号字符串；勿把版本号中的 '.' 误当作分段。,parts[1]: 可更新包的目标版本号，用于强制更新确认框。,high,
18,websocket_text_json,Process_Command,No_update_pack_found,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",无参数,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,callShowMessageBox 无更新包,仅 parts[0]，无后续业务段。,无附加参数；表示无可用更新包。,normal,
19,websocket_text_json,Process_Command,update_progress,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",update_progress:percent:text,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,$bus update_progress,split(':'): parts[0]=update_progress；进度文本若含 ':' 用 parts.slice(1).join(':')。,parts[1]: 进度百分比或阶段码；其后为展示文案（以 Process 拼接为准）。,high,
20,websocket_text_json,Process_Command,update_error,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",update_error:code:message,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,$bus update_error,同上；错误信息含 ':' 时 join。,parts[1]: 错误码；其后: 错误描述。,high,
21,websocket_text_json,Process_Command,update_success,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",update_success:code:message,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,$bus update_success,同上。,parts[1]: 状态码；其后: 成功说明。,high,
22,websocket_text_json,Process_Command,update_failed,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",update_failed:exitCode（Process 发送；App.vue 默认未分支）,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,frontend_gap,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,可能仅控制台未处理 warn,parts[0]=update_failed；parts[1] 常为进程退出码；整段解析以 quarcsmonitor 为准。,parts[1]: 退出码或错误类别；当前前端可能未分支，仅 warn。,high,实现新前端时须显式处理或标注忽略；与 update_error 不同。
23,websocket_text_json,Process_Command,update_sequence_start,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",update_sequence_start:totalCount,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,$bus update_sequence_start,冒号分段；后续段若含 ':' 用 join。,parts[1]: 序列总步数等（见 Process 拼接）。,high,
24,websocket_text_json,Process_Command,update_sequence_step,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",update_sequence_step:index:total:version（以 quarcsmonitor 拼接为准）,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,$bus update_sequence_step,多段时用固定段序解析（index/total/version），具体以 quarcsmonitor 发送格式为准。,parts[1..]: 当前步序号、总步数、版本字符串等。,high,
25,websocket_text_json,Process_Command,update_sequence_finished,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",无冒号载荷或固定串,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,$bus update_sequence_finished,整段或单段；无附加参数时仅前缀。,表示分步更新序列正常结束。,high,
26,websocket_text_json,Process_Command,update_sequence_failed,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",update_sequence_failed:index,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,$bus update_sequence_failed,parts[0] 后接失败步或原因索引。,parts[1]: 失败序号或错误定位。,high,
27,websocket_text_json,Process_Command,testQtServerProcess,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",占位,parts=data.message.split(':')；载荷可含额外冒号时需 join,QUARCS_Process 已连接 Hub,UI/$bus 处理即视为消费,未匹配前缀 -> console.warn 未处理命令,OTA/重启流程,stable,QUARCS_Process/src/quarcsmonitor.cpp; apps/web-frontend/src/App.vue,空分支,无解析逻辑。,无参数含义。,low,
28,websocket_text_json,Process_Command_Return,ServerInitSuccess,browser_to_hub,"{""type"":""Process_Command_Return"",""msgid"":""..."",""message"":""<payload>""}",无冒号或单段,Process 对 message.split(':'); 版本号建议避免额外 ':',宿主进程已连接,无统一 JSON；观察 Process 日志与后续 Process_Command,,置位 qtServerInitSuccess；抑制重启竞态,stable,QUARCS_Process/src/quarcsmonitor.cpp,"App.vue AppSendMessage('Process_Command_Return', ...)",整段 message 可为单段或带前缀；Process 按 messageList[0] 等分支解析。,通知 Qt 服务已就绪；无附加参数或见 quarcsmonitor。,high,与 Qt 的 QT_Return 不同通道；勿混淆 ServerInitSuccess 的 type 路由（依赖 Hub 转发约定）。
29,websocket_text_json,Process_Command_Return,restartQtServer,browser_to_hub,"{""type"":""Process_Command_Return"",""msgid"":""..."",""message"":""<payload>""}",无参数,Process 对 message.split(':'); 版本号建议避免额外 ':',宿主进程已连接,无统一 JSON；观察 Process 日志与后续 Process_Command,,reRunQTServer() 条件重启,stable,quarcsmonitor.cpp,"App.vue AppSendMessage('Process_Command_Return', ...)",单段命令名即 message。,请求宿主重启 Qt 服务进程。,high,与 Qt 的 QT_Return 不同通道；勿混淆 ServerInitSuccess 的 type 路由（依赖 Hub 转发约定）。
30,websocket_text_json,Process_Command_Return,VueClientVersion,browser_to_hub,"{""type"":""Process_Command_Return"",""msgid"":""..."",""message"":""<payload>""}",VueClientVersion:<version>；注意 ':' 拆分与版本串含 '.' 的歧义,Process 对 message.split(':'); 版本号建议避免额外 ':',宿主进程已连接,无统一 JSON；观察 Process 日志与后续 Process_Command,,赋值并 checkVueClientVersion；比较逻辑多用 QUARCS_TOTAL_VERSION,stable,quarcsmonitor.cpp,"App.vue AppSendMessage('Process_Command_Return', ...)",建议仅一个 ':' 分隔前缀与版本；版本串勿再含 ':'。,冒号后：Vue 前端构建版本号，用于与宿主版本比对/更新策略。,high,与 Qt 的 QT_Return 不同通道；勿混淆 ServerInitSuccess 的 type 路由（依赖 Hub 转发约定）。
31,websocket_text_json,Process_Command_Return,updateCurrentClient,browser_to_hub,"{""type"":""Process_Command_Return"",""msgid"":""..."",""message"":""<payload>""}",updateCurrentClient:<ver>；参数可被忽略,Process 对 message.split(':'); 版本号建议避免额外 ':',宿主进程已连接,无统一 JSON；观察 Process 日志与后续 Process_Command,,startSequentialUpdate(),stable,quarcsmonitor.cpp,"App.vue AppSendMessage('Process_Command_Return', ...)",parts[0]=updateCurrentClient；parts[1] 为目标版本（若存在）。,触发顺序更新或拉取客户端包；版本串语义见 Process。,high,与 Qt 的 QT_Return 不同通道；勿混淆 ServerInitSuccess 的 type 路由（依赖 Hub 转发约定）。
32,websocket_text_json,Process_Command_Return,ForceUpdate,browser_to_hub,"{""type"":""Process_Command_Return"",""msgid"":""..."",""message"":""<payload>""}",无参数,Process 对 message.split(':'); 版本号建议避免额外 ':',宿主进程已连接,无统一 JSON；观察 Process 日志与后续 Process_Command,,forceUpdate(),stable,quarcsmonitor.cpp,"App.vue AppSendMessage('Process_Command_Return', ...)",单段命令。,强制走更新流程（无版本参数时由 Process 内部状态决定）。,high,与 Qt 的 QT_Return 不同通道；勿混淆 ServerInitSuccess 的 type 路由（依赖 Hub 转发约定）。
33,websocket_text_json,Broadcast_Msg,CloseWebView,browser_to_hub,"{""type"":""Broadcast_Msg"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数（仅 message 文本）。 [与后端对照: 不适用],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,通知宿主/外壳关闭内嵌 WebView 或返回主应用（如 QuitToMainApp）；与 $bus CloseWebView 联动。,不适用,frontend:src/App.vue,sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,"非 MainWindow 文本命令；见前端 App.vue sendMessage('Broadcast_Msg','CloseWebView')。 | example: CloseWebView"
34,websocket_text_json,Process_Command_Return,VueClientVersion:,browser_to_hub,"{""type"":""Process_Command_Return"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: string，Vue 前端构建版本号。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,上报 Vue 前端构建版本，供宿主侧版本检查/更新策略。,是,"frontend:src/App.vue | Process quarcsmonitor.cpp | messageList[0]==""VueClientVersion""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_Process/src/quarcsmonitor.cpp::QuarcsMonitor（Process_Command_Return） 处理 VueClientVersion 分段；与强制更新流程相关。 | example: VueClientVersion:
35,websocket_text_json,Process_Command_Return,restartQtServer,browser_to_hub,"{""type"":""Process_Command_Return"",""msgid"":""..."",""message"":""<见 message_example_static>""}",无参数。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,用户确认后请求重启 Qt 服务进程（如崩溃/卡死对话框）。,是,"frontend:src/components/gui.vue | Process quarcsmonitor.cpp | messageList[0]==""restartQtServer""",sendMessage → src/components/gui.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,normal,QUARCS_Process/src/quarcsmonitor.cpp::QuarcsMonitor（Process_Command_Return） 分支 restartQtServer；见 gui.vue 确认后 AppSendMessage。 | example: restartQtServer
36,websocket_text_json,Vue_Command,AutoFlip:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: bool 字符串 true/false。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,设置是否启用子午线翻转相关自动逻辑（默认/真值路径）。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""AutoFlip""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""AutoFlip"" | example: AutoFlip:"
37,websocket_text_json,Vue_Command,AutoFlip:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: bool 字符串 true/false。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,设置是否启用子午线翻转前自动流程（与 MeridianFlipNotifier 一致）。,是,"frontend:src/components/MeridianFlipNotifier.vue | Qt mainwindow.cpp | parts[0]== ""AutoFlip""",sendMessage → src/components/MeridianFlipNotifier.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""AutoFlip""，载荷为 true/false | example: AutoFlip:false"
38,websocket_text_json,Vue_Command,AutoFlip:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: bool 字符串 true/false。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,设置是否启用子午线翻转相关自动逻辑（默认/真值路径）。,是,"frontend:src/components/MeridianFlipNotifier.vue | Qt mainwindow.cpp | parts[0]== ""AutoFlip""",sendMessage → src/components/MeridianFlipNotifier.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""AutoFlip"" | example: AutoFlip:true"
39,websocket_text_json,Vue_Command,AutoFocus Exposure Time (ms):,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",parts[1]: int，自动对焦曝光(ms)。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,自动对焦流程中单次曝光时间（毫秒），写入配置并同步 AutoFocus 模块。,是,"frontend:src/App.vue | Qt mainwindow.cpp | parts[0]== ""AutoFocus Exposure Time (ms)""",sendMessage → src/App.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""AutoFocus Exposure Time (ms)""，保存至 Tools/Focuser 参数 | example: AutoFocus Exposure Time (ms):"
40,websocket_text_json,Vue_Command,AutoFocusConfirm:,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<见 message_example_static>""}",AutoFocusConfirm: 之后为模式枚举 Coarse|Fine|Yes|No（message.startsWith 解析）。 [与后端对照: 是],与 MainWindow 解析一致时需满足段数/分隔符；见 parameter_hint,设备已连接等；详 notes / backend_handler_note,QT_Confirm + 异步 QT_Return（依命令而定，无全局固定映射）,Unknown message 日志；部分命令返回 ErrorMessage: 等文本,自动对焦确认：Coarse → 完整粗+精+super-fine（startAutoFocus）,是,"frontend:src/components/gui.vue | Qt mainwindow.cpp | startsWith ""AutoFocusConfirm:""",sendMessage → src/components/gui.vue,不适用（浏览器→Hub）；Qt 返回见对应 QT_Return 行。,见「载荷结构」列 parameter_hint（浏览器发送时各段含义）。,high,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message.startsWith('AutoFocusConfirm:')，按 Coarse/Fine/Yes/No 分支 | example: AutoFocusConfirm:Coarse
